1,135050680990247 0,9875133468137034
7,621226706224313 0,8546477940326593
12,338153527720927 0,7729136347339074
17,937495899867066 0,707834599022641
22,65442272136368 0,6401409054594727
27,370947897184074 0,5825696900592467
32,6762856343391 0,5301761547828683
37,982025017170365 0,4794728093884416
43,28736275432539 0,43635131511673875
48,88710677214777 0,3971079620697618
54,48604749861767 0,36596362967223867
59,4969789551054 0,33305060884694665
65,39112925359507 0,3030976279054438
71,87409211341941 0,2758384749992302
77,76944734893772 0,24634378492968062
82,77877222272059 0,22989417494284506
89,55654300888841 0,20790826770967713
97,51354550043044 0,18335869134516075
103,99610671457856 0,1679199588842812
110,47947122007906 0,15186094982263348
119,32009419929929 0,13309058674418317
125,50744584142763 0,12342558211638169
133,16763217824501 0,11303319478451483
138,76496632201008 0,10681921598661945
147,01557180286696 0,09539731529272093
156,4434007607169 0,08573367345602113
164,39759173252543 0,07900976389284306
172,35258599568635 0,07190400311892259
180,59997831113353 0,06752552041805962
193,85749879171595 0,05844026032904764
205,9341809842194 0,0531844224553002
217,42245226106436 0,04809813534670969
230,6755546392084 0,04460526096628407
241,867411407005 0,04162674398658497
255,12091543082525 0,03836204703972033
268,079611528302 0,03557620492089713
283,688767443137 0,032580701922278826
292,8165670808526 0,031972374968139324
300,76834817860384 0,030596750632213166
313,1382317147459 0,02837482236748595
