"T.gas","T.liquid","U.gas:0","U.gas:1","U.gas:2","U.liquid:0","U.liquid:1","U.liquid:2","air.gas","alpha.gas","alpha.liquid","alphat.gas","alphat.liquid","d.gas","k.gas","k.liquid","nut.gas","nut.liquid","omega.gas","omega.liquid","p","p_rgh","particle.gas","particle.liquid","particleMass_inAir","water.liquid","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
350,350,-0.001219,0.13924,-0.0010895,-0.001041,0.052959,-0.001222,1,0.14118,0.85882,0.34223,1.8859,0.00057861,0.03857,0.013642,0.0024576,0.0014219,15.697,9.585,1.3939e+07,1.394e+07,0,0.18181,18.954,0.81819,1,0,0,0.15,0
350,350,0.00092392,0.13894,-0.0013439,0.0010785,0.052651,-0.0012853,1,0.14076,0.85924,0.34223,1.8803,0.00057861,0.038573,0.013645,0.0024576,0.0014178,15.697,9.5878,1.3939e+07,1.394e+07,0,0.18181,18.887,0.81819,1,0.0002,0,0.15,0.0002
350,350,0.0030668,0.13863,-0.0015982,0.0031981,0.052343,-0.0013486,1,0.14034,0.85966,0.34223,1.8748,0.00057861,0.038575,0.013648,0.0024575,0.0014136,15.698,9.5907,1.3939e+07,1.394e+07,0,0.18181,18.819,0.81819,1,0.0004,0,0.15,0.0004
350,350,0.0052097,0.13833,-0.0018525,0.0053176,0.052035,-0.0014119,1,0.13993,0.86007,0.34222,1.8693,0.00057861,0.038577,0.013652,0.0024575,0.0014094,15.699,9.5935,1.3939e+07,1.394e+07,0,0.18181,18.751,0.81819,1,0.0006,0,0.15,0.0006
350,350,0.0073526,0.13803,-0.0021069,0.0074371,0.051728,-0.0014752,1,0.13951,0.86049,0.34222,1.8637,0.00057861,0.03858,0.013655,0.0024575,0.0014052,15.7,9.5963,1.3939e+07,1.394e+07,0,0.18181,18.683,0.81819,1,0.0008,0,0.15,0.0008
350,350,0.0094955,0.13772,-0.0023612,0.0095567,0.05142,-0.0015385,1,0.13909,0.86091,0.34222,1.8582,0.00057861,0.038582,0.013658,0.0024575,0.0014011,15.701,9.5991,1.3939e+07,1.394e+07,0,0.18181,18.616,0.81819,1,0.001,0,0.15,0.001
350,350,0.011638,0.13742,-0.0026156,0.011676,0.051112,-0.0016018,1,0.13867,0.86133,0.34222,1.8527,0.00057861,0.038585,0.013661,0.0024575,0.0013969,15.702,9.6019,1.3939e+07,1.394e+07,0,0.18181,18.548,0.81819,1,0.0012,0,0.15,0.0012
350,350,0.013781,0.13711,-0.0028699,0.013796,0.050804,-0.0016651,1,0.13826,0.86174,0.34221,1.8471,0.00057861,0.038587,0.013664,0.0024574,0.0013927,15.703,9.6047,1.3939e+07,1.394e+07,0,0.18181,18.48,0.81819,1,0.0014,0,0.15,0.0014
350,350,0.015924,0.13681,-0.0031242,0.015915,0.050496,-0.0017284,1,0.13784,0.86216,0.34221,1.8416,0.00057861,0.038589,0.013668,0.0024574,0.0013886,15.704,9.6075,1.3939e+07,1.394e+07,0,0.18181,18.413,0.81819,1,0.0016,0,0.15,0.0016
350,350,0.018067,0.1365,-0.0033786,0.018035,0.050189,-0.0017917,1,0.13742,0.86258,0.34221,1.8361,0.00057861,0.038592,0.013671,0.0024574,0.0013844,15.704,9.6103,1.3939e+07,1.394e+07,0,0.18181,18.345,0.81819,1,0.0018,0,0.15,0.0018
