-0,041771150326596285 0,975182610135202
3,2107555356815283 0,7826867730221362
6,461273993308588 0,6482351935039076
9,120971661219905 0,5540127781424488
12,960302680181591 0,4588432982662026
16,209616200779998 0,38725277895666127
20,046938991360612 0,3309647332683276
23,589052209921455 0,2864348923516328
25,067911589753756 0,2574193566342345
28,018400727246437 0,23280108130651428
29,50047327248847 0,19896293058703027
33,338599354421525 0,1679199588842812
35,99347727421823 0,15475035385190541
41,30524134219275 0,12736431053885178
44,84614962372493 0,11232527480385308
49,859892599946185 0,09782507840197723
53,10559130945864 0,08736489742648511
56,94050422598193 0,07753454186936212
63,13347890757732 0,06584971325202127
70,79888663818556 0,0555755844025647
77,8730719334018 0,04870631420010925
89,66378240443845 0,03884711752352386
97,32557532396072 0,034693296373465285
104,98776988915918 0,03078958391175502
111,76473738397462 0,02819711259169871
120,89816006115728 0,02534077647700654
132,09443493139224 0,022069507062938514
140,6378401102116 0,02021126291542326
150,35927205737642 0,018393558468026264
158,60666437282362 0,017273511265280594
167,14926626029052 0,01601911326162453
179,22594845279397 0,0145784307302627
194,8367109503339 0,013019597082814876
213,39113460887077 0,011700726392582102
229,5895047307167 0,01064841894942168
248,43833466992098 0,009569745964352989
266,6967454650856 0,008819211153315114
282,5991027235593 0,008230308194366931
300,563508883733 0,007537319357288996
315,8762502895196 0,007122956631645
